Consumer Price Index for All Urban Consumers (CPI-U),,,,,,,,,,,,,,,
12-Month Percent Change,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Series Id:,CUUR0000SA0L1E,,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,,
Series Title:,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,,
Item:,All items less food and energy,,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,,
Years:,1990 to 2025,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2,
1990,4.4,4.6,4.9,4.8,4.8,4.9,5.0,5.5,5.5,5.3,5.3,5.2,4.8,5.3,2.265671019
1991,5.6,5.6,5.2,5.1,5.1,5.0,4.8,4.6,4.5,4.4,4.5,4.4,5.3,4.6,2.170182969
1992,3.9,3.8,3.9,3.9,3.8,3.8,3.7,3.5,3.3,3.5,3.4,3.3,3.8,3.4,2.055097508
1993,3.5,3.6,3.4,3.5,3.4,3.3,3.2,3.3,3.2,3.0,3.1,3.2,3.4,3.2,1.977957178
1994,2.9,2.8,2.9,2.8,2.8,2.9,2.9,2.9,3.0,2.9,2.8,2.6,2.8,2.9,1.911069737
1995,2.9,3.0,3.0,3.1,3.1,3.0,3.0,2.9,2.9,3.0,3.0,3.0,3.0,3.0,1.857210629
1996,3.0,2.9,2.8,2.7,2.7,2.7,2.7,2.6,2.7,2.6,2.6,2.6,2.7,2.7,1.804869416
1997,2.5,2.5,2.5,2.7,2.5,2.4,2.4,2.3,2.2,2.3,2.2,2.2,2.6,2.2,1.752300404
1998,2.2,2.3,2.1,2.1,2.2,2.2,2.2,2.5,2.5,2.3,2.3,2.4,2.2,2.4,1.70956137
1999,2.4,2.1,2.1,2.2,2.0,2.1,2.1,1.9,2.0,2.1,2.1,1.9,2.1,2.0,1.672760636
2000,2.0,2.2,2.4,2.3,2.4,2.5,2.5,2.6,2.6,2.5,2.6,2.6,2.3,2.5,1.633555308
2001,2.6,2.7,2.7,2.6,2.5,2.7,2.7,2.7,2.6,2.6,2.8,2.7,2.6,2.7,1.601524812
2002,2.6,2.6,2.4,2.5,2.5,2.3,2.2,2.4,2.2,2.2,2.0,1.9,2.5,2.2,1.560940363
2003,1.9,1.7,1.7,1.5,1.6,1.5,1.5,1.3,1.2,1.3,1.1,1.1,1.7,1.3,1.521384369
2004,1.1,1.2,1.6,1.8,1.7,1.9,1.8,1.7,2.0,2.0,2.2,2.2,1.6,2.0,1.493017045
2005,2.3,2.4,2.3,2.2,2.2,2.0,2.1,2.1,2.0,2.1,2.1,2.2,2.2,2.1,1.476772547
2006,2.1,2.1,2.1,2.3,2.4,2.6,2.7,2.8,2.9,2.7,2.6,2.6,2.2,2.7,1.443570427
2007,2.7,2.7,2.5,2.3,2.2,2.2,2.2,2.1,2.1,2.2,2.3,2.4,2.4,2.3,1.413878969
2008,2.5,2.3,2.4,2.3,2.3,2.4,2.5,2.5,2.5,2.2,2.0,1.8,2.3,2.3,1.376707857
2009,1.7,1.8,1.8,1.9,1.8,1.7,1.5,1.4,1.5,1.7,1.7,1.8,1.8,1.6,1.343129616
2010,1.6,1.3,1.1,0.9,0.9,0.9,0.9,0.9,0.8,0.6,0.8,0.8,1.1,0.8,1.320678089
2011,1.0,1.1,1.2,1.3,1.5,1.6,1.8,2.0,2.0,2.1,2.2,2.2,1.3,2.0,1.299880009
2012,2.3,2.2,2.3,2.3,2.3,2.2,2.1,1.9,2.0,2.0,1.9,1.9,2.2,2.0,1.28700991
2013,1.9,2.0,1.9,1.7,1.7,1.6,1.7,1.8,1.7,1.7,1.7,1.7,1.8,1.7,1.258074203
2014,1.6,1.6,1.7,1.8,2.0,1.9,1.9,1.7,1.7,1.8,1.7,1.6,1.8,1.7,1.23461649
2015,1.6,1.7,1.8,1.8,1.7,1.8,1.8,1.8,1.9,1.9,2.0,2.1,1.7,1.9,1.21517371
2016,2.2,2.3,2.2,2.1,2.2,2.2,2.2,2.3,2.2,2.1,2.1,2.2,2.2,2.2,1.196037117
2017,2.3,2.2,2.0,1.9,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.8,2.0,1.7,1.170290721
2018,1.8,1.8,2.1,2.1,2.2,2.3,2.4,2.2,2.2,2.1,2.2,2.2,2.1,2.2,1.143979199
2019,2.2,2.1,2.0,2.1,2.0,2.1,2.2,2.4,2.4,2.3,2.3,2.3,2.1,2.3,1.123751669
2020,2.3,2.4,2.1,1.4,1.2,1.2,1.6,1.7,1.7,1.6,1.6,1.6,1.8,1.6,1.09956132
2021,1.4,1.3,1.6,3.0,3.8,4.5,4.3,4.0,4.0,4.6,4.9,5.5,2.6,4.5,1.07484
2022,6.0,6.4,6.5,6.2,6.0,5.9,5.9,6.3,6.6,6.3,6.0,5.7,6.2,6.1,1.06
2023,5.6,5.5,5.6,5.5,5.3,4.8,4.7,4.3,4.1,4.0,4.0,3.9,5.4,4.2,1
2024,3.9,3.8,3.8,3.6,3.4,3.3,3.2,3.2,3.3,3.3,3.3,3.2,3.6,3.3,
2025,3.3,3.1,2.8,2.8,2.8,2.9,3.1,3.1,3.0,,,,2.9,,
